StudentID,Gender,Height,Weight,BloodType,PhysicalResult,MonthlyConsumption
71997470,F,1.6,51.51,O,A,554.74
63614614,M,1.68,42.78,O,D,459.32
13124816,M,1.62,57.68,O,D,1078.84
33091112,F,1.74,50.11,B,A,902.21
95491652,M,1.52,61.09,A,B,518.81
76179947,M,1.66,75.74,B,A,437.73
17722033,F,1.68,79.55,B,D,394.78
80605759,F,1.89,67.86,AB,D,1309.64
35208734,M,1.76,68.49,B,D,1112.14
5113437,F,1.76,43.66,O,C,1495.7
33396407,M,1.85,67.88,O,A,813.63
69269855,M,1.74,44.07,O,A,1175.81
51886057,M,1.53,45.24,A,C,347.63
23738284,M,1.71,43.41,O,B,1107.3
8845513,F,1.88,63.98,AB,C,661.74
33223962,M,1.56,67.53,A,C,505.48
61554805,M,1.56,74.37,A,D,1299.1
10366626,M,1.81,76.35,A,D,821.6
84561815,M,1.64,76.93,B,A,801.62
72846290,F,1.73,74.87,AB,B,1442.13
84135178,F,1.75,50.72,AB,A,688.54
98449782,F,1.87,60.78,B,A,902.14
28418383,M,1.71,71.52,AB,B,794.96
36685695,F,1.76,72.42,AB,A,1479.69
81265438,M,1.84,55.98,O,A,1497.24
99940832,F,1.54,65.11,O,A,435.4
73305385,M,1.58,56.6,A,D,765.98
91002581,M,1.66,52.37,AB,D,717.85
86094279,F,1.76,41.42,O,B,1349.27
66007239,M,1.61,44.8,AB,A,503.09
74838096,F,1.77,50.55,B,A,410.81
25182268,M,1.7,79.45,A,A,828.21
58026584,M,1.54,46.54,AB,D,785.9
8246315,F,1.78,59.56,A,C,1256.57
89585047,F,1.65,49.43,B,D,1472.02
94945292,F,1.58,55.47,A,C,1362.11
42360739,M,1.75,72.76,O,C,1209.76
71201141,M,1.59,71.75,B,D,615.49
53064622,M,1.58,67.55,O,B,828.42
57069823,M,1.89,74.83,AB,D,777.14
59503826,M,1.59,72.02,O,B,1499.11
5459233,M,1.56,41.49,B,A,973.14
34209546,F,1.69,53.29,A,D,1186.43
42974410,F,1.55,76.71,B,A,978.41
31146631,M,1.75,73.86,A,C,849.8
89201244,M,1.54,44.73,O,D,461.58
43207910,F,1.88,63.31,B,B,915.09
97281276,F,1.63,44.01,B,D,1115.91
83272718,F,1.64,48.95,A,B,811.3
16951552,M,1.58,68.98,O,C,1213.35
26868351,M,1.8,42.81,B,C,937.8
69600437,M,1.77,43.17,B,C,418.25
57310084,F,1.8,41.96,O,C,1175.47
84971783,M,1.84,63.79,O,D,659.67
76377287,F,1.61,48.44,B,D,514.38
61211630,F,1.82,79.36,B,C,1013.72
38063418,F,1.61,46.1,A,B,1208.3
88563380,F,1.82,70.39,AB,A,1062.94
81585262,F,1.64,74.65,AB,A,945.43
53551503,M,1.67,56.21,A,D,501.24
73360407,M,1.57,57.51,AB,C,1396.23
18293984,M,1.5,52.59,A,C,610.37
78825012,F,1.87,53.91,A,C,1101.45
82656099,M,1.5,60.36,B,D,1203.2
61686902,M,1.76,53.91,O,C,1125.49
64088568,F,1.89,53.01,O,B,393.36
11732793,F,1.72,54.06,B,A,319.9
51256745,F,1.51,54.11,A,B,837.33
52645693,M,1.58,42.51,AB,B,1274.26
90937527,M,1.6,79.75,AB,D,1399.13
65721146,M,1.63,43.32,O,C,1297.64
66995103,F,1.57,40.39,AB,C,1088.25
3547243,M,1.84,75.37,AB,D,321.21
12551433,M,1.59,54.89,A,A,1057.3
67767142,F,1.62,56.78,AB,D,758.77
78582960,F,1.73,45.16,A,D,1015.65
75179554,M,1.71,52.86,O,D,996.45
48828415,M,1.66,73.73,A,C,765.58
92725231,M,1.79,67.81,AB,C,1227.25
3924517,M,1.86,71.55,O,D,563.95
19662414,M,1.75,70.76,B,C,1369.62
24949515,F,1.75,58.9,A,A,625.98
9212795,F,1.67,49.75,B,B,985.88
88133553,F,1.74,65.09,O,D,1210.12
85961106,F,1.63,78.59,B,C,787.96
9308593,F,1.56,62.2,B,A,459.87
17712278,M,1.77,70.29,AB,D,475.74
39473757,F,1.72,55.03,A,C,731.77
76118972,M,1.9,75.82,B,B,920.52
93563541,F,1.5,40.38,A,D,1029.37
2225679,M,1.55,68.61,B,C,362.26
29763542,M,1.71,41.23,A,D,465.39
4444007,M,1.5,74.82,O,C,1493.18
20100451,F,1.74,79.25,B,B,928.38
43054267,F,1.85,74.97,AB,A,395.34
25182615,F,1.51,71.7,O,C,1106.62
69969662,F,1.74,60.01,AB,D,633.48
97638094,F,1.84,57.81,A,C,1445.46
29969847,M,1.81,44.99,A,A,1282.04
1853016,M,1.63,60.57,O,C,1290.0
70807928,F,1.63,47.77,O,B,1361.06
16541662,M,1.81,40.47,O,D,537.43
98047005,F,1.62,72.02,AB,C,638.97
88245198,M,1.63,40.9,A,D,493.46
27875365,M,1.65,72.68,B,D,957.58
2665395,F,1.51,62.6,B,C,971.91
52965879,M,1.61,79.64,A,C,310.08
22425171,F,1.9,43.07,A,A,341.81
72701985,F,1.7,47.89,AB,A,1240.72
82047551,M,1.56,59.66,A,B,1178.85
7793562,F,1.8,60.6,A,C,850.3
25753722,F,1.84,70.85,O,C,1263.35
10853300,M,1.54,77.29,AB,A,1172.35
53900699,F,1.85,44.0,A,D,1143.76
85753751,M,1.64,66.51,A,B,1415.16
77712946,F,1.81,41.95,A,C,1484.43
24490897,F,1.73,61.86,AB,D,760.53
47737000,F,1.62,67.55,AB,D,1013.41
77118665,F,1.63,67.25,A,A,1118.35
37810071,F,1.69,66.87,A,B,521.7
84445899,F,1.8,50.53,AB,C,435.36
18833665,F,1.54,63.04,B,D,1154.91
31612757,M,1.78,50.65,A,C,1327.36
47054755,F,1.62,59.58,A,B,1235.85
1804480,M,1.71,58.16,A,B,983.59
4476208,M,1.87,69.68,A,D,354.9
95155978,M,1.65,57.47,AB,D,382.41
55775812,F,1.59,62.88,O,D,1052.41
78950400,F,1.74,58.79,AB,B,1265.89
26914521,F,1.7,66.63,O,B,655.73
25625075,F,1.57,49.14,AB,D,381.18
87975547,M,1.57,77.77,A,B,1089.56
42576438,M,1.77,66.5,AB,C,397.51
13687682,F,1.7,60.24,A,A,660.86
95209190,F,1.57,40.85,A,C,644.91
24757474,F,1.61,40.64,O,C,374.96
55995092,M,1.58,44.68,AB,B,667.03
68572220,F,1.84,68.63,B,B,895.0
98004669,F,1.52,78.56,O,C,1357.88
99197515,F,1.74,56.44,AB,D,791.12
88634495,F,1.6,44.49,AB,A,1163.4
29797724,M,1.67,54.47,O,D,1214.95
8483261,F,1.54,49.65,O,A,1305.41
74884134,M,1.57,51.64,A,A,1175.44
27375164,F,1.9,50.74,AB,C,681.13
19216584,M,1.64,47.34,B,D,1089.46
38671404,M,1.79,73.26,AB,D,1384.19
48987344,F,1.53,74.64,A,D,430.97
62794389,F,1.76,79.6,A,C,1241.6
76774416,M,1.7,62.19,B,A,1140.92
2518691,M,1.59,50.81,O,D,1408.54
82154704,M,1.85,48.66,B,D,1323.44
37053364,F,1.88,70.06,B,C,1084.41
74484267,F,1.79,79.47,A,B,1047.71
88610671,M,1.82,63.88,B,A,1181.88
64949590,F,1.83,49.81,B,D,1427.95
22015421,M,1.85,70.58,AB,C,1246.11
28000017,M,1.66,46.98,AB,C,880.69
2268991,F,1.83,48.01,B,C,1377.28
57334435,M,1.81,60.59,A,B,1332.08
82711948,M,1.72,44.95,AB,D,884.94
80628304,F,1.82,59.9,B,C,813.17
19153737,M,1.64,57.57,B,C,662.52
42248541,M,1.69,51.2,O,C,553.06
34020592,M,1.67,63.58,O,B,816.03
60158817,M,1.5,58.05,AB,A,415.38
14484096,F,1.65,50.72,AB,C,549.34
50806519,F,1.73,63.09,A,A,1380.14
76025992,M,1.64,60.25,A,D,1460.89
1017603,F,1.8,65.21,AB,B,313.3
13666000,M,1.71,60.28,O,C,946.67
58988082,F,1.66,44.36,AB,A,1300.71
53679558,F,1.57,43.89,O,A,400.84
98057627,F,1.58,68.48,A,A,976.71
63151934,M,1.82,78.75,A,B,1303.84
13233220,M,1.55,75.92,B,A,832.71
2529274,F,1.78,65.88,AB,A,896.59
40365209,M,1.86,57.68,O,C,613.53
55676162,M,1.75,63.14,B,C,589.63
53785085,F,1.65,55.47,B,B,1208.34
42045000,F,1.66,46.02,AB,A,1006.65
50861765,M,1.5,53.24,A,A,411.32
3052970,M,1.73,76.16,O,B,477.64
82633631,M,1.73,43.78,AB,B,701.12
24506009,M,1.7,61.81,B,D,927.93
25029966,F,1.86,59.05,A,A,1151.82
18235094,F,1.64,69.03,B,D,813.3
60880597,M,1.71,48.84,B,D,425.93
66286751,F,1.79,75.3,B,C,958.7
51778212,F,1.53,68.01,O,A,1236.88
27480182,F,1.85,43.29,A,B,952.21
27321181,F,1.87,77.5,AB,C,360.73
74204162,F,1.87,75.67,B,D,527.36
15686362,M,1.88,51.47,O,A,1053.58
866223,F,1.66,68.5,B,D,715.47
34292449,F,1.72,75.61,AB,D,1333.99
64977213,M,1.57,60.53,AB,B,632.17
54637891,F,1.62,77.43,AB,B,1034.17
45028950,M,1.53,44.86,AB,C,1234.12
31145651,F,1.54,60.56,A,C,1105.95
73214545,M,1.89,53.23,B,D,1299.05
90301356,F,1.62,58.4,O,A,924.59
92709917,M,1.89,50.82,A,B,1375.06
12079690,M,1.62,67.35,AB,B,1077.09
9415292,M,1.67,75.71,B,B,1018.81
74469252,M,1.72,52.3,AB,A,1083.02
5143667,M,1.52,60.1,AB,C,607.89
53476313,M,1.68,41.72,AB,B,1083.7
97671398,M,1.5,62.93,AB,D,538.13
84279647,F,1.89,63.09,A,C,1499.62
32663231,M,1.82,67.41,B,C,1034.4
95516407,M,1.64,49.0,B,A,345.35
25020923,F,1.87,67.64,AB,B,1487.43
21643181,M,1.79,63.91,AB,C,1389.64
84266161,M,1.62,53.84,B,B,675.98
58524790,F,1.59,49.17,O,C,783.98
73035544,F,1.54,45.43,B,B,1008.25
75905367,F,1.55,40.6,B,D,320.93
19006560,F,1.68,54.88,A,C,419.77
55372347,F,1.61,72.84,O,D,923.57
60939567,F,1.86,72.11,O,A,1095.74
99714227,F,1.9,48.66,B,C,1029.81
25167234,M,1.53,42.62,AB,A,677.55
38578809,M,1.86,63.15,AB,A,1382.51
38238334,M,1.6,50.91,AB,C,1031.6
48982721,M,1.77,63.45,O,C,1118.52
72066779,F,1.52,76.46,A,C,981.7
34042092,M,1.54,64.39,AB,D,592.1
4025932,F,1.76,48.18,B,A,1373.74
70987713,M,1.67,46.91,B,C,1249.63
13686245,F,1.55,43.56,AB,D,412.96
22068573,F,1.63,71.26,AB,D,1447.29
58967979,M,1.7,74.64,A,C,966.8
51841625,M,1.82,66.31,A,B,930.78
16651845,F,1.89,63.05,AB,C,837.33
76369682,F,1.83,62.53,A,A,992.24
8319715,F,1.67,64.29,A,B,1335.52
66283495,F,1.83,42.61,O,D,1469.94
87426621,F,1.61,62.01,O,A,1476.76
33907796,F,1.61,71.22,A,B,1114.41
62422014,M,1.87,79.32,AB,B,581.77
42917200,M,1.81,41.41,O,A,1405.94
80101805,M,1.73,59.55,B,B,820.94
71466674,M,1.53,47.99,A,C,1140.73
59849013,F,1.82,77.05,B,D,1178.55
63037814,M,1.51,62.31,AB,B,732.37
25413677,M,1.63,79.83,B,A,974.12
8194793,F,1.88,60.31,AB,B,638.8
54352627,F,1.73,69.04,O,C,435.8
88764817,F,1.56,53.37,B,A,746.38
55028941,F,1.79,47.82,A,A,934.96
66287848,M,1.72,65.98,AB,D,859.51
34173783,M,1.68,70.26,O,A,803.18
21159081,F,1.79,62.68,AB,B,786.64
27945899,F,1.58,43.55,O,D,1410.23
73705482,F,1.84,63.41,A,A,959.54
33196413,M,1.58,45.73,O,D,342.13
51445407,M,1.89,42.57,O,B,583.89
72023021,M,1.72,56.39,B,D,754.93
13310524,F,1.9,72.08,AB,A,589.07
53805827,M,1.57,67.97,A,C,1049.57
36387150,M,1.74,70.88,O,D,1032.96
4297394,F,1.56,66.56,A,B,1039.34
44968007,M,1.54,74.43,A,D,743.13
31830848,M,1.77,69.69,B,C,1088.02
80070630,F,1.66,59.84,O,C,1256.89
44769562,M,1.71,63.34,B,A,1252.72
75419943,F,1.51,45.28,A,A,504.14
98533494,M,1.64,72.97,A,D,332.2
2262264,F,1.65,44.32,A,D,751.38
30695447,M,1.72,50.99,A,D,987.22
83715760,M,1.69,52.24,A,C,1365.86
66585857,F,1.59,44.76,O,A,801.47
73347200,M,1.65,70.59,AB,B,893.02
28073426,M,1.64,62.23,AB,A,591.43
41778624,F,1.85,58.24,A,B,751.9
55281424,M,1.76,66.06,AB,C,999.54
88172953,F,1.67,72.94,O,C,621.36
26455796,M,1.55,63.15,A,B,983.08
48305743,F,1.8,42.6,AB,A,683.69
50929088,F,1.8,47.55,B,D,1291.2
15097660,M,1.65,45.87,AB,C,393.88
16075575,F,1.7,57.08,A,C,735.03
10158802,M,1.56,60.16,AB,B,829.27
66663649,F,1.74,65.77,A,C,624.0
87101091,F,1.84,70.49,B,B,483.98
49690720,M,1.72,50.5,O,A,1262.19
16181526,M,1.5,69.49,AB,D,1278.14
30675978,F,1.83,40.27,B,C,539.68
7177824,M,1.89,52.26,O,D,710.92
75876540,F,1.56,49.93,O,C,382.86
1150777,M,1.52,50.41,AB,B,1438.76
342973,F,1.56,76.66,AB,C,626.22
1134786,M,1.69,62.14,AB,D,975.52
73597691,M,1.59,42.2,O,B,740.67
17381086,M,1.69,53.7,AB,C,832.35
14666503,M,1.53,75.95,O,A,953.16
53621317,F,1.88,58.47,A,D,793.82
97450017,M,1.61,48.42,B,D,1392.98
15965980,M,1.87,70.69,B,A,970.67
27302695,M,1.57,77.48,AB,A,1425.06
9691715,M,1.55,58.18,O,B,315.53
1553858,F,1.78,52.76,O,C,1070.51
45158585,M,1.62,47.47,B,C,978.57
79725894,M,1.52,53.18,B,A,425.09
56578273,M,1.62,69.78,O,A,605.52
10512838,F,1.65,75.04,O,A,734.27
28416808,F,1.76,70.33,A,B,820.7
59483088,F,1.68,52.67,A,C,882.49
30019453,M,1.52,65.72,AB,D,405.91
97465337,F,1.76,46.95,AB,A,846.92
28826063,M,1.64,55.36,AB,A,679.68
35177299,F,1.89,56.13,AB,D,444.28
23398949,F,1.59,56.22,AB,A,852.31
27954185,F,1.55,41.35,A,A,1011.41
94772425,M,1.82,61.97,B,D,1057.05
45460154,M,1.83,59.62,B,C,706.99
59633773,F,1.86,43.88,B,D,1407.7
77735511,M,1.63,70.06,O,D,1363.69
27168498,M,1.52,54.7,A,B,501.55
93118699,F,1.67,58.49,B,A,918.17
99247430,F,1.89,72.26,A,D,595.12
62535444,F,1.59,53.88,B,C,533.98
33966277,M,1.81,77.39,AB,C,1218.03
50655116,M,1.74,76.86,AB,A,664.62
79075496,F,1.89,60.16,O,A,569.04
95063723,M,1.85,76.46,O,A,588.31
95902033,M,1.71,49.29,A,D,1347.67
28376495,F,1.63,46.02,A,D,1267.57
27281030,F,1.58,54.28,A,D,346.35
58253967,F,1.87,58.21,O,D,950.71
41894022,M,1.64,43.28,O,B,740.05
18041841,M,1.52,46.74,O,C,1362.57
14543039,M,1.53,65.41,A,A,1476.24
37823408,F,1.66,44.22,AB,C,1049.06
90199006,F,1.83,63.84,AB,D,449.77
81446278,F,1.83,71.8,O,D,1333.88
43909024,F,1.57,76.49,A,A,472.03
3043328,F,1.75,44.37,A,C,652.57
86373638,M,1.66,49.88,A,D,1226.75
13657368,F,1.81,61.56,AB,A,1049.88
96215449,M,1.5,79.68,AB,B,1262.74
80745845,F,1.62,60.49,A,A,695.93
13966934,F,1.88,70.93,A,A,1441.46
88392294,F,1.79,46.72,O,D,1234.42
1777650,F,1.52,54.18,AB,A,1140.17
11325855,M,1.66,66.92,B,C,1160.84
55147914,F,1.79,64.06,B,B,1382.29
33872944,F,1.85,63.37,O,D,998.07
59569432,M,1.66,61.78,A,A,1466.12
46135799,F,1.8,40.91,A,A,1050.88
63532703,F,1.67,74.44,AB,C,1088.78
99633623,M,1.85,72.28,O,A,1475.32
98607406,F,1.63,52.67,A,B,686.13
76931701,M,1.73,73.39,A,A,435.94
50638870,M,1.73,54.14,AB,D,1380.08
51457943,M,1.87,43.11,AB,A,788.78
78079339,F,1.52,62.18,B,C,721.24
73285485,F,1.86,64.63,O,D,1056.82
64963256,F,1.67,55.77,B,C,1281.37
2399535,F,1.84,56.6,O,C,757.25
78079385,F,1.76,48.5,O,A,1493.18
96742754,F,1.81,68.51,A,C,353.79
64966857,F,1.8,66.98,B,C,406.05
8909081,M,1.53,61.16,O,A,1414.37
28387105,M,1.86,48.48,B,D,1259.86
90486162,F,1.86,78.82,O,C,1453.17
66402978,M,1.72,55.37,AB,D,434.42
39087859,F,1.69,62.44,AB,A,559.05
25170407,M,1.51,79.91,AB,A,782.07
85395643,F,1.83,79.83,A,D,748.0
93653162,M,1.84,63.0,O,B,968.48
66508752,M,1.52,73.41,B,D,657.32
89345410,M,1.72,42.07,A,A,953.22
61270590,M,1.53,47.93,O,B,1085.18
84661535,F,1.69,78.88,A,B,1087.06
4738841,M,1.57,73.03,B,D,770.7
49086503,F,1.56,63.42,A,B,673.15
81760840,F,1.57,45.46,O,B,555.47
1966434,M,1.8,70.63,O,C,1284.46
9688751,F,1.69,77.24,O,B,686.38
63354389,F,1.88,68.32,AB,B,964.46
97980601,F,1.55,41.45,A,C,625.88
63531699,F,1.6,42.63,B,A,1330.98
46929348,F,1.66,50.88,O,A,600.34
60409660,M,1.85,43.62,AB,D,1037.63
21667842,F,1.78,47.5,B,B,1087.34
15237449,M,1.68,66.46,O,A,1494.77
65009690,F,1.55,61.08,O,C,931.0
53989270,F,1.66,55.86,O,A,843.46
49322111,F,1.81,45.52,A,D,939.18
39196505,M,1.81,71.44,AB,B,994.8
13373375,F,1.71,58.06,AB,B,407.67
30842531,M,1.86,52.77,AB,B,1493.18
50008398,F,1.64,65.58,B,C,1444.68
36988224,F,1.83,51.75,AB,D,1362.59
62856583,F,1.75,54.19,AB,D,415.34
7765746,M,1.68,64.79,AB,D,1040.19
25821382,F,1.76,68.24,O,A,835.84
22594786,F,1.75,78.79,A,C,999.55
9871873,F,1.78,40.1,AB,B,895.29
3631746,F,1.6,74.53,A,D,1094.43
28927559,F,1.83,75.17,A,B,740.5
28473131,F,1.85,72.73,A,C,600.31
695386,F,1.53,52.85,B,B,1376.06
81912480,M,1.88,55.13,AB,B,591.84
94417015,F,1.69,42.81,AB,C,893.55
73655782,F,1.7,40.88,O,D,314.83
95718825,F,1.83,77.41,B,D,857.77
45305478,M,1.84,78.88,A,C,983.51
44608308,M,1.86,58.09,AB,D,843.81
53531543,F,1.56,78.25,B,C,1098.07
79226566,F,1.58,78.68,A,C,1457.26
56184357,F,1.78,54.98,A,B,302.88
40519618,M,1.71,55.54,O,D,326.81
12811736,M,1.56,73.17,B,B,588.95
80481640,M,1.72,69.95,B,D,1445.59
41159777,F,1.64,52.64,A,D,1378.13
21772477,F,1.75,71.31,A,B,934.67
65550904,F,1.51,47.17,B,A,1357.03
25844699,M,1.66,40.21,A,C,1403.16
55696007,M,1.64,54.0,AB,D,1441.35
47607217,F,1.74,61.14,A,D,657.99
63153210,M,1.76,61.06,A,C,960.58
40861522,M,1.82,59.36,B,A,499.06
89299780,F,1.76,66.13,A,A,724.85
76650062,F,1.62,55.72,A,D,1193.35
50593568,M,1.85,50.49,AB,C,1144.77
76031350,M,1.78,51.96,AB,D,864.86
42849960,M,1.88,58.2,O,C,1133.92
7106840,F,1.52,63.95,AB,A,735.64
48588748,F,1.69,63.2,A,B,723.56
51396674,F,1.79,58.42,A,D,1384.6
26989523,M,1.79,47.99,B,B,1213.51
83269462,F,1.67,41.34,O,C,320.44
88796906,M,1.62,79.85,A,B,1308.0
9785074,M,1.53,60.02,AB,A,707.36
5324499,F,1.71,52.35,B,B,493.17
12844474,M,1.52,72.89,A,B,1440.49
52119391,F,1.73,43.92,O,A,729.65
23868232,F,1.66,68.32,A,D,1441.03
39866640,F,1.56,75.94,B,A,887.49
44372267,F,1.59,79.53,B,D,1466.76
54389273,M,1.62,57.46,AB,D,1414.77
61170174,F,1.64,54.04,A,B,663.56
84018972,M,1.62,67.42,O,D,379.42
54560316,F,1.76,70.87,A,A,1210.79
15250448,M,1.87,64.05,O,A,468.34
3524811,F,1.56,67.04,B,C,1301.74
65796888,M,1.73,40.36,A,B,542.72
27275943,F,1.88,75.39,B,D,1462.73
62486125,M,1.8,45.52,B,D,706.09
16262944,M,1.84,76.56,O,B,577.39
88858644,F,1.57,58.99,B,C,1480.0
61770857,F,1.58,68.0,B,D,997.89
86080242,F,1.56,66.14,A,B,578.11
93679255,F,1.59,53.09,AB,D,926.97
24157432,F,1.51,70.81,AB,A,410.24
18874246,M,1.75,40.7,AB,D,1358.64
89765510,M,1.61,77.94,B,A,1192.86
65558854,M,1.82,72.97,A,B,951.75
66667077,F,1.68,67.6,O,C,517.23
19075706,M,1.83,46.01,B,B,509.55
93834033,M,1.74,79.48,O,C,1054.23
47000963,F,1.59,66.17,AB,B,1374.49
95137399,F,1.83,72.98,B,C,1423.51
69276170,F,1.65,52.08,AB,B,615.0
81284737,F,1.55,41.09,B,D,1254.99
18109462,M,1.85,56.94,O,C,1355.43
61658818,F,1.54,57.3,AB,A,528.33
74209785,M,1.54,58.58,B,C,859.09
16627843,M,1.66,55.64,A,D,1284.38
42569653,M,1.84,67.02,AB,D,993.22
48231182,F,1.58,69.06,AB,A,1236.42
4138135,F,1.67,54.93,B,D,758.04
55932576,F,1.83,79.55,O,D,422.88
85133631,F,1.63,72.58,AB,C,1324.1
42894888,F,1.66,61.08,O,D,1494.85
59059323,F,1.63,76.92,AB,D,752.83
93106753,M,1.52,40.48,AB,A,854.07
20230558,M,1.73,59.24,O,A,1364.89
64447680,F,1.68,50.13,B,D,454.44
48494987,F,1.6,42.72,AB,A,580.36
97000264,F,1.67,68.13,B,D,768.29
66948381,M,1.53,62.13,A,B,823.38
64856853,F,1.68,64.42,B,B,1245.5
43063534,M,1.88,58.21,O,D,972.76
10633533,F,1.76,50.3,B,B,875.24
55871467,M,1.53,77.12,AB,A,316.64
85357363,M,1.72,55.0,O,B,944.09
75651398,M,1.86,41.54,O,D,344.65
99486911,M,1.56,47.69,A,B,469.63
49693053,F,1.7,64.86,A,B,838.45
83824421,F,1.62,52.54,O,C,412.8
49737215,M,1.57,51.78,O,D,573.9
75463085,M,1.55,67.22,O,A,678.71
54617947,F,1.77,49.34,AB,D,425.39
35523208,M,1.79,71.55,O,C,805.53
59592397,F,1.6,48.01,O,C,1219.14
9803242,M,1.59,70.67,B,D,1239.94
21876449,M,1.9,47.79,AB,A,448.14
78507548,M,1.86,61.1,AB,C,535.23
34684265,M,1.55,49.71,A,B,1425.83
11943418,F,1.89,77.59,B,B,620.83
42519527,F,1.77,59.89,AB,D,722.67
39715147,M,1.53,59.53,AB,A,849.66
4611810,M,1.64,66.71,A,D,1283.67
19099434,F,1.61,73.25,A,C,1278.5
97745202,M,1.85,50.37,AB,A,1140.92
63299973,M,1.84,58.98,B,A,1233.06
58887768,F,1.76,77.5,AB,A,1436.89
504727,F,1.68,53.43,A,C,1487.1
28723371,F,1.52,65.79,AB,C,1195.71
12445215,F,1.57,75.9,A,C,617.25
37166490,M,1.66,63.8,AB,C,681.02
74478558,F,1.64,47.97,B,D,786.73
55584136,F,1.56,47.69,O,A,1171.05
7922892,M,1.59,61.74,AB,C,809.74
65854814,F,1.69,69.93,O,D,627.9
36801821,F,1.72,68.4,B,D,1429.39
49251268,F,1.58,56.38,B,D,1084.44
18069428,F,1.68,45.39,AB,A,883.17
6470669,F,1.74,58.36,A,C,743.99
56181788,F,1.69,79.84,A,A,1379.68
43163247,M,1.67,53.27,O,C,469.28
6093957,F,1.82,50.28,A,A,316.11
19941133,M,1.78,58.25,O,B,1144.26
47042779,M,1.84,77.72,AB,A,1069.95
12017221,F,1.79,45.97,B,A,533.01
61039823,F,1.64,42.72,B,B,951.48
43752728,M,1.61,64.83,B,A,1340.05
85538167,F,1.67,68.16,O,D,1173.86
22150303,M,1.84,74.37,A,B,984.63
89575788,M,1.62,78.9,A,B,343.14
70218458,M,1.85,70.93,AB,B,587.96
54846857,F,1.86,57.78,AB,B,1076.64
57099505,F,1.84,67.77,O,B,1266.86
27815908,M,1.86,64.68,AB,C,1035.35
34918732,M,1.66,64.38,O,B,591.53
60551364,F,1.8,57.56,AB,D,1340.46
75072420,F,1.68,62.11,O,C,1100.04
8724303,F,1.64,47.97,AB,B,1428.04
79616092,M,1.89,76.87,O,C,580.59
91605461,M,1.54,42.53,O,B,944.31
73971414,F,1.59,50.84,AB,B,341.36
35841667,M,1.89,67.16,A,C,1482.71
49858656,F,1.85,78.47,B,C,1442.15
47897655,M,1.63,66.68,O,B,837.6
72001660,F,1.88,56.53,A,C,451.49
49473810,F,1.89,57.26,B,A,785.23
12822972,M,1.75,52.78,O,C,338.08
